Word,Language
concha,es
carajo,es
chilito,es
joderse,es
costar un huevo,es
maldición,es
mostacero,es
tu madre es una estupida,es
pichacorta,es
we,es
pinche puta,es
mamon,es
huey,es
"chinga tu madre, cabron",es
cojón,es
remojar el cochayuyo,es
chichi,es
wea,es
soplapollas,es
sucia,es
hueva,es
pargo,es
te cogieron de pendejo,es
rabo,es
me cago en el coño de tu madre,es
maricon,es
hasta la madre,es
pinche idiota,es
putain,es
joto,es
la cagada,es
te voy a romper la cara a trompadas,es
cabrón,es
chingate,es
coño ,es
yo mataria tu,es
maraca,es
peras,es
"no huyas, pendejo",es
tocarse las peras,es
pete,es
tarado,es
cara de monda,es
comerán mierda,es
maraco,es
plumífero,es
mamaverga,es
cola,es
que te den por culo,es
invertido,es
una pendejada,es
mariquita,es
maricona,es
agilipollado,es
pirobo,es
playo,es
parcha,es
joder,es
tontopollas,es
jode a tu madre,es
cojeme,es
pinche,es
deje de ser tan pendejo,es
la he jodido,es
chingóna,es
trompada,es
salchicha,es
las tetas,es
chuchamadre,es
choto,es
cucaracha,es
maldito,es
homo,es
negraco,es
tortillera,es
caray,es
ojete,es
puta,es
pute,es
chupamedias,es
chinga tu hermana,es
comemierda,es
plon,es
julandrón,es
me importa tres cojones,es
tengo ganas,es
trolo,es
julai,es
vete a la chingada,es
putta,es
panoche,es
vete al infierno,es
hora,es
cojon,es
cara de panocha,es
sarasa,es
chotera,es
eres una marica,es
vete a la mierda,es
wa,es
cojonazos,es
valió madre,es
chorra,es
mamapinga,es
bolas,es
mojon,es
mamagüevos,es
fundío,es
nabo,es
guarra,es
chingado,es
come mierda,es
tocar los cojones,es
me cago en la virgen,es
mamona,es
cabron,es
mamavergas,es
tonta,es
cueco,es
jodido,es
conchatumadre,es
se la metio,es
le quedo una chimba,es
gilipollas,es
pelos de los huevos,es
mal bicho,es
metete un palo por el culo,es
me cago en la leche,es
verga dura,es
me importa un huevo,es
huevada,es
cipote,es
chupame la polla,es
hijo de la chingada,es
comecaca,es
besame el culo,es
zunga,es
estás puto,es
hijo de mil putas,es
cara de pito,es
bombero,es
chotaco,es
desviado,es
cagaste y saltaste en la caca,es
tu madre es una puta,es
métetelo por el culo,es
rosquete,es
caracho,es
negrata,es
me encanta tu culo,es
garchar,es
madrear,es
tirate a un poso,es
una pendeja,es
me cago,es
de cojones,es
puto,es
pinga,es
trucha,es
calientapollas,es
jupa de pollo,es
mondá,es
basura,es
fundillo,es
valió verga,es
cundango,es
wey,es
gonorrea,es
pedazo,es
madrazo,es
banana,es
porongo,es
me importa un cojón,es
macha,es
no me jodas,es
manflor,es
trabuco,es
por huevos,es
comilón,es
zorra,es
todo el jupa de poll,es
triple-hijueputa,es
tocarse los cojones,es
poronga,es
cocoon,es
tocarse los huevos,es
verga muy grande,es
raro,es
chingón,es
no joda,es
follar,es
soplanucas,es
negrito,es
puttus,es
verga,es
chingar,es
fran,es
gilipolla,es
caquita de la vaquita,es
me cago en ti,es
kieta el stupido elephante,es
knave,es
güey,es
bete a la verga,es
orto,es
payaso,es
cabro,es
loco,es
capullo,es
mariconzón,es
mierda de toro,es
chula,es
echar madrazos,es
tocarse las pelotas,es
tragasables,es
afeminado,es
mierda,es
loca,es
hijueputa,es
pinnus,es
tonto,es
collons,es
buey,es
culear,es
qué chingados es eso,es
puñal,es
conchetumadre,es
ahueonao,es
garcha,es
pelotudo,es
miércoles,es
le metio la verga,es
jode tu madre ayer noche,es
cacorro,es
percanta,es
ahuevoneado,es
chinga tu madre,es
perra,es
chorizo,es
palanca de cambios,es
caca,es
culero,es
joystick,es
pájaro,es
hueco,es
tu eres más feo que el culo de un mono,es
yo cago en la leche de tu puta madre,es
estás cabrón,es
atontado,es
chingada,es
chingona,es
"uy, que care-chimba",es
chulo,es
bolson,es
chingada madre,es
mamagüevo,es
tu madre es una puta fea,es
tragaleche,es
vaina,es
gilipollez,es
coger,es
chota,es
muerdealmohadas,es
cara de mi huevo izquierdo,es
puttana,es
cockroach,es
chivo,es
andate a la chucha,es
culito,es
tocar los huevos,es
"qué maricón de mierda, eh?",es
poto,es
polla,es
bujarra,es
bugarrón,es
bombilla de cuero,es
maricueca,es
tu madre es muy gato y feo,es
me cago en la hostia,es
soy la verga andando,es
"mano, eres tremendamente maricón",es
puta barrata,es
el orto,es
"chinga tu madre, cabrón",es
puta madre,es
boludo,es
so',es
está muy pinche,es
coño,es
huevos,es
te voy a meter la verga,es
mira qué cabrón,es
desgraciado,es
colizón,es
marimacha,es
carajito,es
bambaro,es
roscón,es
mierda de toros,es
cochón,es
plumón,es
culiao,es
manflora,es
chichis,es
hueles a mierda,es
vete al carajo,es
raghead,es
camel jockey,es
chingon,es
chotar,es
pendo,es
chocha,es
ahuevado,es
estúpido,es
bujarrón,es
pendejo,es
bufarrón,es
me cago en tu puta madre,es
parchita,es
culo,es
bicho,es
yo soy cabrón,es
pinche güey,es
panocha,es
maricón,es
marica,es
perro,es
bombilla,es
culo peludo,es
que te jodan,es
chapero,es
huevon,es
madre,es
jack,es
calójili,es
chingados,es
tu hermano no tiene la ingle,es
me cago en dios,es
cojete mi suegra,es
tocar los pelotas,es
burro,es
albondigas,es
el ojete,es
mayate,es
pulla,es
hijo de puta,es
bastardo,es
"vení, oleme la chucha",es
cuca,es
cagar,es
partido,es
chocho,es
mariposa,es
fleto,es
fresa,es
putus,es
pija,es
rarito,es
imbécil,es
pelotas,es
chucha,es
cojones,es
homogay,es
que comemierderia,es
chucha de tu madre,es
way,es
chupamela,es
mamagüevazo,es
tienes ganas,es
idiota,es
