Word,Language,IPA,English Translation
хуйня,ru,xujna,bullshit
доебались,ru,doebalʲisʲ,fucked up
выебон,ru,vɨebon,fuck
хуле,ru,xulʲe,hoole
змея,ru,zmʲea,snake
волосня,ru,volosna,hair
чучмен,ru,t͡ɕʲut͡ɕʲmʲen,choochman
на хуя,ru,na xua,for fuck's sake
обламаться,ru,oblamatʲsʲa,screw up
мерхавеч,ru,mʲerxavʲet͡ɕʲ,merhavec
барыга,ru,barɨɡa,bargainer
дерьмоед,ru,dʲerʲmoed,turd
ебанулось,ru,jebanulosʲ,fucked up
дупло,ru,duplo,hollow
присунуть,ru,prʲisunutʲ,poke
ахуел,ru,axuel,fuck
блядское,ru,blʲadskoe,fucking
настреляли по пиздюлятору,ru,nastrʲelʲalʲi po pʲizdʲulʲatoru,shot the pussy.
ебанько,ru,jebanʲko,fucker
манья,ru,mana,mania
спиздить,ru,spʲizdʲitʲ,snatch
ебанула,ru,jebanula,fucked
выблядовал,ru,vɨblʲadoval,ogled
скотоёб,ru,skotoob,cattle eater
обосцать,ru,obost͡satʲ,shit
однохуйственно,ru,odnoxujstvʲenno,fucked
менты,ru,mʲentɨ,mentors
наебнулась,ru,naebnulasʲ,fucked up
ёбнул,ru,jobnul,fucked
стоячок,ru,stoat͡ɕʲok,riser
блядская,ru,blʲadskaa,fucking
распиздошила,ru,raspʲizdoʂila,fucked up
блядство,ru,blʲadstvo,fucking
шоха,ru,ʂoxa,shoja
жидоёбский,ru,ʒidoobskʲij,Jew
прихуел,ru,prʲixuel,fucked up
деревня,ru,dʲerʲevna,village
дурак,ru,durak,fool
сволочь,ru,svolot͡ɕʲ,bastard
писька,ru,pʲisʲka,pussy
молокосос,ru,molokosos,sucker
злоебучий,ru,zloebut͡ɕʲij,wicked
опездол,ru,opʲezdol,opezdol
радужный,ru,raduʒnɨj,rainbow
дрянь,ru,drʲanʲ,crap
пошел нахуй,ru,poʂel naxuj,Fuck you.
еблище,ru,jeblʲiɕːe,fuck
лось,ru,losʲ,moose
сексист,ru,sʲeksʲist,sexist
ебальный станок,ru,jebalʲnɨj stanok,fucking machine
свинтус,ru,svʲintus,pig
рак мозга,ru,rak mozɡa,brain cancer
жидоёбка,ru,ʒidoobka,Jew fucker
дать пизды,ru,datʲ pʲizdɨ,pussyfoot
многопиздная,ru,mnoɡopʲizdnaa,multifucked
трахнуть,ru,traxnutʲ,fuck
пиздовладелец,ru,pʲizdovladʲelʲet͡s,cunt owner
ебля,ru,jeblʲa,fucking
иди к черту,ru,idʲi k t͡ɕʲertu,go to hell.
нахуй,ru,naxuj,fuck
распиздяй,ru,raspʲizdʲaj,asshole
малолетка,ru,malolʲetka,juvenile
голубятня,ru,ɡolubʲatna,dovecote
змея подколодная,ru,zmʲea podkolodnaa,pit snake
очко,ru,ot͡ɕʲko,point
передернуть,ru,pʲerʲedʲernutʲ,twitch
блядемудиный пиздопроёб,ru,blʲadʲemudʲinɨj pʲizdoproob,fucking cunt fucker.
присунул,ru,prʲisunul,poked
казел,ru,kazʲel,asshole
импотент,ru,impotʲent,impotent
навешать пиздюлей,ru,navʲeʂatʲ pʲizdʲulʲej,pussyfoot around
мне до лампочки,ru,mne do lampot͡ɕʲkʲi,I don't care.
хули,ru,xulʲi,fuck
остоебать,ru,ostoebatʲ,fuck off
сукин сын,ru,sukʲin sɨn,son of a bitch
пососи мои яйца,ru,pososʲi moi ajt͡sa,Suck my balls.
писюн,ru,pʲisʲun,dick
хуй на тебя,ru,xuj na tʲebʲa,fuck you.
хохол,ru,xoxol,khohol
без пизды,ru,bʲez pʲizdɨ,without the pussy.
мудозвод,ru,mudozvod,husbandry
как ёб твою мать,ru,kak ob tvou matʲ,like a motherfucker.
член,ru,t͡ɕʲlʲen,dick
под юбкой,ru,pod ubkoj,under the skirt
хуйло,ru,xujlo,dickhead
жополиз,ru,ʒopolʲiz,asshole
подонок,ru,podonok,scumbag
наёб,ru,naob,fuck
говно,ru,ɡovno,shit
путана,ru,putana,slut
заебала,ru,zaebala,fucked up
допизды,ru,dopʲizdɨ,fuck it
елда,ru,jelda,faggot
дерево,ru,dʲerʲevo,wood
проститутка,ru,prostʲitutka,prostitute
еб тебя,ru,jeb tʲebʲa,fuck you
отъебись,ru,otʲjebʲisʲ,fuck off
гнида,ru,ɡnida,rot
хитровыебанный,ru,xʲitrovɨebannɨj,dodgy
козел,ru,kozʲel,goat
залупа,ru,zalupa,asshole
еб,ru,jeb,eb
облом,ru,oblom,bummer
не пудри мозги,ru,ne pudrʲi mozɡi,don't mess with me.
вьебал,ru,vʲebal,fucked
"вдруг, откуда ни возьмись, появился в рот ебись",ru,"vdruɡ, otkuda ni vozʲmʲisʲ, poavʲilsʲa v rot ebʲisʲ","all of a sudden, out of nowhere, there's a fuck you"
изъебнулся,ru,izʲjebnulsʲa,fucked up
ебни,ru,jebni,ebony
жопа,ru,ʒopa,asshole
руки из жопы,ru,rukʲi iz ʒopɨ,hands out of ass
выебнуться,ru,vɨebnutʲsʲa,fuck off
мудила,ru,mudʲila,asshole
пиздобратия,ru,pʲizdobratʲia,cuntocracy
гобиться,ru,ɡobʲitʲsʲa,hobble
педик,ru,pʲedʲik,faggot
дура,ru,dura,fool
бадяжить,ru,badʲaʒitʲ,potion
деревеньщина,ru,dʲerʲevʲenʲɕːina,hillbilly
наблядовал,ru,nablʲadoval,gawked
голубой,ru,ɡoluboj,blue
распиздяйка,ru,raspʲizdʲajka,cunt
капрофил,ru,kaprofʲil,caprofil
доебалась,ru,doebalasʲ,fucked up
ёбкость,ru,jobkostʲ,yobbishness
страть тебе в рот,ru,stratʲ tʲebʲe v rot,Fuck you in the mouth.
опиздоумел,ru,opʲizdoumʲel,asshole
хитровыебанная,ru,xʲitrovɨebannaa,dodgy
говнюк,ru,ɡovnuk,asshole
засранец,ru,zasranet͡s,asshole
дерьмо,ru,dʲerʲmo,crap
осёд,ru,osʲod,sedge
заёб,ru,zaob,fuck
целкa,ru,t͡selka,virgin
еблан,ru,jeblan,fucker
ебанёшься,ru,jebanoʂʲːsʲa,fuck off
ебанулся,ru,jebanulsʲa,fucked up
гей,ru,ɡej,gay
дерьмохеропиздократ,ru,dʲerʲmoxʲeropʲizdokrat,shithead cocksucker
шлюха,ru,ʂlʲuxa,whore
кнь педальный,ru,knʲ pʲedalʲnɨj,pedal knee
пиздец,ru,pʲizdʲet͡s,fuck
удавись,ru,udavʲisʲ,blow yourself
развалюха,ru,razvalʲuxa,wreck
шут,ru,ʂut,buffoon
нахуярить,ru,naxuarʲitʲ,fuck up
ебашит,ru,jebaʂit,fucks
прыщавый,ru,prɨɕːavɨj,pimply
крыша поехала,ru,krɨʂa poexala,crazy
у меня стоит,ru,u mʲena stoit,I have
выёбывается,ru,vɨobɨvaetsʲa,fucking around
яйца,ru,jajt͡sa,eggs
слоняра,ru,slonara,elephant
обламатся,ru,oblamatsʲa,screw up
хер,ru,xʲer,dick
какого черта,ru,kakoɡo t͡ɕʲerta,what the hell
феменистка,ru,fʲemʲenistka,feminist
заебал,ru,zaebal,fucked up
ебланка,ru,jeblanka,fucker
крыса,ru,krɨsa,rat
 да пошел тыпошел ты,ru,da poʂel tɨpoʂel tɨ,Fuck you. Fuck you.
фалос,ru,falos,phalos
фапать,ru,fapatʲ,fap
черт возми,ru,t͡ɕʲert vozmʲi,damn it
гнусный,ru,ɡnusnɨj,vile
машонка,ru,maʂonka,mashonka
пидоростия,ru,pʲidorostʲia,faggotry
трахаться,ru,traxatʲsʲa,fuck
пофапать,ru,pofapatʲ,fan out
ебальник разинул,ru,jebalʲnik razʲinul,fucked up
пиздрик,ru,pʲizdrʲik,cunt
дуплоящер,ru,duploaɕːer,duplicator
вжопу,ru,vʒopu,asshole
я тебя в рот ебал,ru,ja tʲebʲa v rot ebal,I fucked you in the mouth.
сцать,ru,st͡satʲ,piss
подъёбки,ru,podʲjobkʲi,jokes
ебаная сука,ru,jebanaa suka,fucking bitch
объебала,ru,obʲjebala,pissed off
яйчелы,ru,jajt͡ɕʲelɨ,ovules
наебали,ru,naebalʲi,fucked up
хуй тебе в жопу,ru,xuj tʲebʲe v ʒopu,dick up your ass.
ты дегенерат,ru,tɨ dʲeɡenerat,you degenerate.
объебал,ru,obʲjebal,fucked up
заебёшь мёртвого,ru,zaebʲoʂʲː mʲortvoɡo,fuck a dead man.
косяк,ru,kosʲak,joint
хуелес,ru,xuelʲes,hueless
баба,ru,baba,baba
кощей,ru,koɕːej,catfish
осел,ru,osʲel,donkey
наебнулся,ru,naebnulsʲa,fucked up
 пососи ми яйчелы,ru,pososʲi mʲi ajt͡ɕʲelɨ,Suck my balls.
болван,ru,bolvan,moron
черножепый,ru,t͡ɕʲernoʒepɨj,nigger
еб твою мать,ru,jeb tvou matʲ,Fucking hell.
овца,ru,ovt͡sa,sheep
нахуяриться,ru,naxuarʲitʲsʲa,fuck up
остоебал,ru,ostoebal,fucked up
пиздецкое,ru,pʲizdʲet͡skoe,fucked
ёбаная сука,ru,jobanaa suka,fucking bitch
отсоси потом проси,ru,otsosʲi potom prosʲi,"Blow me, then ask me."
как мухи на говно,ru,kak muxʲi na ɡovno,like flies on shit
коза,ru,koza,goat
одень,ru,odʲenʲ,put on
феменизм,ru,fʲemʲenizm,feminism
алкаш,ru,alkaʂ,alkie
пизда,ru,pʲizda,cunt
пондостания,ru,pondostania,ponditions
уебался,ru,uebalsʲa,fucked up
хесосо,ru,xʲesoso,jesoso
маза факер,ru,maza fakʲer,maza faker
пасть,ru,pastʲ,mouth
опущеный,ru,opuɕːenɨj,omitted
деревянный,ru,dʲerʲevʲannɨj,wooden
ебанул,ru,jebanul,fucked
ахуй,ru,axuj,fuck
блядь,ru,blʲadʲ,fuck
чурка,ru,t͡ɕʲurka,chump
пиздодушие,ru,pʲizdoduʂie,cuntishness
объебали,ru,obʲjebalʲi,fucked up
пердун старый,ru,pʲerdun starɨj,old fart
пьянь,ru,pʲanʲ,drunk
пиздецкий,ru,pʲizdʲet͡skʲij,fucked
пиздопляска,ru,pʲizdoplʲaska,cunt dance
глупизди,ru,ɡlupʲizdʲi,stupid
оберблядь,ru,obʲerblʲadʲ,cunt
соси писос,ru,sosʲi pʲisos,Suck a pussy.
ёб,ru,job,yob
спиздила,ru,spʲizdʲila,snatched
оскотоёбился,ru,oskotoobʲilsʲa,fucked up
хуевина,ru,xuevʲina,cocksucker
блядистость,ru,blʲadʲistostʲ,whoredom
пендос,ru,pʲendos,pendo
пиздабол,ru,pʲizdabol,cunt
козлоёбина,ru,kozloobʲina,goat fucker
изъебнуться,ru,izʲjebnutʲsʲa,fuck up
лох,ru,lox,sucker
трах,ru,trax,fuck
убью,ru,ubʲu,kill
мамку,ru,mamku,mom
соси хуй,ru,sosʲi xuj,suck a dick
ленивая жопа,ru,lʲenivaa ʒopa,lazy ass
подпиздывает,ru,podpʲizdɨvaet,pussyfooting
кресты,ru,krʲestɨ,crosses
некрофил,ru,nekrofʲil,necrophiliac
пендостан,ru,pʲendostan,Pendostan
мудачье,ru,mudat͡ɕʲe,asshole
мудак,ru,mudak,asshole
скотоёбина,ru,skotoobʲina,bastard
нигретов,ru,niɡrʲetov,nigretovs
нет яиц,ru,net ait͡s,no eggs
жидоёбские,ru,ʒidoobskʲie,Jew fuckers
забить хуй,ru,zabʲitʲ xuj,fuck off
насрать,ru,nasratʲ,give a shit
свинья,ru,svʲina,pig
стояк,ru,stoak,riser
убъю,ru,ubʲju,kill
дувушка по вызову,ru,duvuʂka po vɨzovu,call girl
ботаник,ru,botanik,botanist
разъебали,ru,razʲjebalʲi,fucked up
спиздил,ru,spʲizdʲil,snatched
козлоёб,ru,kozloob,asshole
бурда,ru,burda,bourda
наркоту,ru,narkotu,dope
хуй на нее,ru,xuj na nee,fuck her
член тебе в рот,ru,t͡ɕʲlʲen tʲebʲe v rot,dick in your mouth
рак,ru,rak,cancer
бля,ru,blʲa,fuck
сосать,ru,sosatʲ,suck
завали ебало,ru,zavalʲi ebalo,shut the fuck up
писос,ru,pʲisos,scribe
промежность,ru,promʲeʒnostʲ,perineum
соска,ru,soska,pacifier
хуй тебе,ru,xuj tʲebʲe,fuck you
пиздоёбищность,ru,pʲizdoobʲiɕːnostʲ,cuntishness
обосцыш,ru,obost͡sɨʂ,shit
ебало,ru,jebalo,fuckface
дрянной,ru,drʲannoj,trashy
да хуй его не возьмёт,ru,da xuj eɡo ne vozʲmʲot,the fuck he won't take it.
сосунок,ru,sosunok,sucker
заебать,ru,zaebatʲ,fuck up
падла,ru,padla,asshole
бляхомудия,ru,blʲaxomudʲia,blachomudia
завали рот,ru,zavalʲi rot,shut your mouth
уебалась,ru,uebalasʲ,fucked
подзалупный,ru,podzalupnɨj,subalarial
мондавошки,ru,mondavoʂkʲi,mondavos
в жопу,ru,v ʒopu,up my ass
шестерка,ru,ʂestʲerka,six
срать на тебя,ru,sratʲ na tʲebʲa,shit on you.
ебанат вонючий,ru,jebanat vonut͡ɕʲij,fucking stinker
уёбище,ru,uobʲiɕːe,motherfucker
жидоёб,ru,ʒidoob,Jew fucker
нига,ru,niɡa,niga
предатель,ru,prʲedatʲelʲ,traitor
хуй моржерый,ru,xuj morʒerɨj,motherfucker
ебёт в рот и в жопу,ru,jebʲot v rot i v ʒopu,Fucking in the mouth and in the ass.
шут гороховый,ru,ʂut ɡoroxovɨj,pea jester
подофил,ru,podofʲil,podophile
лолита,ru,lolʲita,lolita
пендостания,ru,pʲendostania,pendocracies
пиздуй,ru,pʲizduj,fuck off
не хначь,ru,ne xnat͡ɕʲ,No shit.
высший пиздец,ru,vɨsʂij pʲizdʲet͡s,ultimate fuck-up
долбаеб,ru,dolbaeb,dickhead
пиздун,ru,pʲizdun,cunt
алкашная,ru,alkaʂnaa,alkali
мошонка,ru,moʂonka,scrotum
малоебущий,ru,maloebuɕːij,fucked-up
слон,ru,slon,elephant
распиздошить,ru,raspʲizdoʂitʲ,cuss out
трепездон,ru,trʲepʲezdon,trepisdon
чухмен,ru,t͡ɕʲuxmʲen,chukhman
доебался,ru,doebalsʲa,fucked up
ебаная блядь,ru,jebanaa blʲadʲ,fucking bitch
пидорас,ru,pʲidoras,faggot
пиздобрат,ru,pʲizdobrat,cunt
подпиздываеть,ru,podpʲizdɨvaetʲ,pussy
да ебал я,ru,da ebal a,Fuck me.
нахуя,ru,naxua,for fuck's sake
черт,ru,t͡ɕʲert,damn
баба яга,ru,baba aɡa,baba yaga
соси член,ru,sosʲi t͡ɕʲlʲen,suck a dick
прокаженный,ru,prokaʒennɨj,leper
козлоёбище,ru,kozloobʲiɕːe,asshole
уебаться,ru,uebatʲsʲa,fuck off
ебани,ru,jebani,fuck
дурак несчастный,ru,durak nest͡ɕʲastnɨj,miserable fool
выебываться,ru,vɨebɨvatʲsʲa,fuck off
пасть закрой,ru,pastʲ zakroj,shut your mouth
гандон,ru,ɡandon,dickhead
греблядь,ru,ɡrʲeblʲadʲ,rowing
заебали,ru,zaebalʲi,fucked up
ошибка природы,ru,oʂibka prʲirodɨ,mistake of nature
поебень,ru,poebʲenʲ,fuck
ты дурак,ru,tɨ durak,you're a fool.
ёб твою мать,ru,job tvou matʲ,Fucking hell.
остоебала,ru,ostoebala,stooge
остоебали,ru,ostoebalʲi,fucked up
пиздецкая,ru,pʲizdʲet͡skaa,fucked
пёзды,ru,pʲozdɨ,cunts
я твою мамку ебал,ru,ja tvou mamku ebal,I fucked your mom.
похуй,ru,poxuj,fuck
балван,ru,balvan,spoilsport
ебаный карась,ru,jebanɨj karasʲ,fucking carp
завали пасть,ru,zavalʲi pastʲ,shut your mouth
черт побери,ru,t͡ɕʲert pobʲerʲi,damn it
дегенерат,ru,dʲeɡenerat,degenerate
азер,ru,azʲer,Azer
голоёбица,ru,ɡoloobʲit͡sa,naked cunt
москали,ru,moskalʲi,Muscals
у меня встал,ru,u mʲena vstal,I'm up.
пиздомания,ru,pʲizdomania,cunt addiction
гаишник,ru,ɡaiʂnik,traffic cop
уебки,ru,uebkʲi,fuckers
выёбываются,ru,vɨobɨvautsʲa,fuck off
трепездонит,ru,trʲepʲezdonit,codpiece
халявочник,ru,xalʲavot͡ɕʲnik,freeloader
исчезни,ru,ist͡ɕʲezni,disappear
залупа коская,ru,zalupa koskaa,asshole
на хуй,ru,na xuj,fuck off
секс,ru,sʲeks,sex
объебательство,ru,obʲjebatʲelʲstvo,embarrassment
сучьи сын,ru,sut͡ɕʲi sɨn,son of a bitch
блоха,ru,bloxa,flea
впиздячил,ru,vpʲizdʲat͡ɕʲil,fucked up
пердун,ru,pʲerdun,fart
выебываешься,ru,vɨebɨvaeʂʲːsʲa,fucking around
уёбищенски,ru,uobʲiɕːenskʲi,ugly
факер,ru,fakʲer,facer
лабизаться,ru,labʲizatʲsʲa,labialize
срачище,ru,srat͡ɕʲiɕːe,scramble
мордобой,ru,mordoboj,pugilism
окаченел,ru,okat͡ɕʲenel,petrified
хуёво,ru,xuovo,fucked
хуйню нести,ru,xujnu nestʲi,bullshit
забил хуй,ru,zabʲil xuj,fucked up.
жук навозный,ru,ʒuk navoznɨj,dung beetle
сучара,ru,sut͡ɕʲara,bitch
наротан,ru,narotan,naratan
минет,ru,mʲinet,blowjob
я твою маму ебал,ru,ja tvou mamu ebal,I fucked your mom.
говносос,ru,ɡovnosos,shit sucker
гадушник,ru,ɡaduʂnik,gadushnik
шароёбится,ru,ʂaroobʲitsʲa,wobbling
халява,ru,xalʲava,freebies
нигер,ru,niɡer,nigger
сучка,ru,sut͡ɕʲka,bitch
конченый,ru,kont͡ɕʲenɨj,finished
рачина,ru,rat͡ɕʲina,rachina
доебаться,ru,doebatʲsʲa,fuck off
наебашился,ru,naebaʂilsʲa,fucked up
сосихуйский,ru,sosʲixujskʲij,Sosikhui
ебать,ru,jebatʲ,fuck
головка от хуя,ru,ɡolovka ot xua,dick head
ведьма,ru,vʲedʲma,witch
крышка,ru,krɨʂka,cover
крысеныш,ru,krɨsʲenɨʂ,little rat
пошел на хуй,ru,poʂel na xuj,Fuck you.
пидоростан,ru,pʲidorostan,faggot
заебись,ru,zaebʲisʲ,fucking great
ченый,ru,t͡ɕʲenɨj,black
засунь в жопу,ru,zasunʲ v ʒopu,shove it up your ass.
конча,ru,kont͡ɕʲa,cum
дубина,ru,dubʲina,cudgel
очкун,ru,ot͡ɕʲkun,goggle
москаль,ru,moskalʲ,Muscal
долбаебка,ru,dolbaebka,motherfucker
косоёбится,ru,kosoobʲitsʲa,squint
мондавошка,ru,mondavoʂka,mondawoshka
нимфоманка,ru,nimfomanka,nymphomaniac
ебанулась,ru,jebanulasʲ,fucked up
подъёбка,ru,podʲjobka,banter
жидоёбская,ru,ʒidoobskaa,Jew
объебать,ru,obʲjebatʲ,fuck around
изъебнулась,ru,izʲjebnulasʲ,fucked up
трахал,ru,traxal,fucked
наебщики,ru,naebɕːikʲi,fuckers
выёбываться,ru,vɨobɨvatʲsʲa,fuck off
иди нахуй,ru,idʲi naxuj,Fuck you.
косячок,ru,kosʲat͡ɕʲok,joint
мамка,ru,mamka,mom
запад,ru,zapad,west
херотень,ru,xʲerotʲenʲ,bullshit
даун,ru,daun,down
бля буду,ru,blʲa budu,I fucking will.
жопу порву маргала выкалю,ru,ʒopu porvu marɡala vɨkalʲu,"I'm gonna tear my ass up, I'm gonna roll out the margal."
"ну все, тебе пизда",ru,"nu vsʲe, tʲebʲe pʲizda","That's it, you're fucked."
хуй,ru,xuj,dick
дуб дубом,ru,dub dubom,oak tree
connard,fr,kɔnaʀ,asshole
je m’en fou,fr,ʒə m’ən fu,I don't care
je m’en fous,fr,ʒə m’ən fu,I don't care
t’as intérêt ne pas m’énervé,fr,t’as ɛ̃teʀə̂t nə pas m’enɛʀve,you better not piss me off
je m’en fiche,fr,ʒə m’ən fiʃ,I don't care
emmerdeur,fr,ɑmɛʀdœʀ,pain in the ass
mange de la merde,fr,mɑ̃ʒə də la mɛʀd,eat shit
je veux faire l’amour avec toi,fr,ʒə vœks fɛʀɛ l’amuʀ avək twa,i want to make love to you
papier q,fr,papjəʀ k,paper q
ça me fait chier,fr,sa mə fɛt ʃjəʀ,it pisses me off
ducon,fr,dykɔ̃,ducon
t’es rien qu’un petit connard,fr,t’əs ʀjɛ̃ k’yn pətit kɔnaʀ,you're nothing but a little prick
putain de merde,fr,pytɛn də mɛʀd,FUCKING SHIT
s’en foutre,fr,s’ən futʀ,don't care
va te faire enculer,fr,va tə fɛʀɛ ɑ̃kyləʀ,fuck you
tu es con,fr,ty əs kɔ̃,you're an idiot
je me fais chier,fr,ʒə mɛ fɛs ʃjəʀ,I'm bored
"meurs, pute",fr,"mœʀs, pyt","die, whore"
batard,fr,bataʀ,batard
pétasse,fr,petas,cunt
dégage,fr,deɡaʒ,clear
tu fais chier,fr,ty fɛs ʃjəʀ,you're a pain in the ass
enfoiré,fr,ɑ̃fwaʀe,bastard
ma couille,fr,ma kujl,my ball
chiante,fr,ʃjɑ̃tə,annoying
nom de dieu,fr,nɔm də djø,in the name of god
ta race,fr,ta ʀaz,your race
mes couilles en toi,fr,məs kujlɛs ən twa,my balls inside you
une casse-couille,fr,ynə kasə-kujl,a pain in the ass
rien à branler,fr,ʀjən a bʀɑ̃ləʀ,give a shit
ça fait shier,fr,sa fɛt sjəʀ,it's shier
pq,fr,pk,pq
chatte,fr,ʃat,pussy
baise moi mor,fr,bɛzə mwa mɔʀ,fuck me mor
couille,fr,kujl,ball
c’est pas con,fr,k’ɛst pas kɔ̃,it's not stupid
crève la gueule ouverte,fr,kʀə̀vɛ la ɡɥœlə uvɛʀt,die with your mouth open
j’ai baisé ta mère,fr,ʒ’ai bɛze ta mə̀ʀ,i fucked your mother
sale,fr,sal,dirty
branleur,fr,bʀɑ̃lœʀ,wanker
couillon,fr,kujlɔ̃,coward
bachie coupe,fr,baʃjə kup,bachie cut
baise,fr,bɛz,fuck
enfoirée,fr,ɑ̃fwaʀe,bastard
va te faire foutre,fr,va tə fɛʀə futʀ,fuck you
allez,fr,alɛ,go to
je t’emmerde,fr,ʒə t’ɑmɛʀd,screw you
enculée,fr,ɑ̃kyle,motherfucker
"oh, merde",fr,"ɔ, mɛʀd","oh, shit"
c’est vraiment de ta faute,fr,k’ɛst vʀɛmɑ̃t də ta fot,it's really your fault
ça craint,fr,sa kʀɛ̃,it sucks
dégueu,fr,deɡɥø,gross
s’en branler,fr,s’ən bʀɑ̃ləʀ,give a fuck
cul,fr,kyl,ass
va t’en,fr,va t’ɑ̃,go away
couilles,fr,kujl,balls
casse-toi,fr,kasə-twa,get lost
niquer,fr,nikəʀ,fuck
pédé,fr,pede,fag
idiote,fr,idjɔt,silly
putain,fr,pytɛ̃,whore
j’ai envie de chier,fr,ʒ’ai ɑ̃vjə dɛ ʃjəʀ,I want to shit
t’es un salaud,fr,t’əs yn salo,you're a bastard
foutre le bordel,fr,futʀə lɛ bɔʀdəl,making a mess
vous sentez comme le boeuf et le fromage,fr,vus sɑ̃təz kɔmɛ lɛ bɔœf ɛt lə fʀɔmaʒ,you smell like beef and cheese
gross cul,fr,ɡʀɔs kyl,fat ass
chiant,fr,ʃjɑ̃t,boring
quel salaud,fr,kəl salo,what a bastard
